SCC Code,Data Category Code,Short Desc,Level 1 Desc,Level 2 Desc,Level 3 Desc,Level 4 Desc,EI Sector
2811500250,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Sugar Cane: Burning Techniques Not Significant,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Sugar Cane: Burning Techniques Not Significant,Fires - Agricultural Field Burning
2811500262,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Wheat: Backfire Burning,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Wheat: Backfire Burning,Fires - Agricultural Field Burning
2811500261,EVENT,Agricultural Field Burning - whole field set on fire /Field Crop is Wheat: Headfire Burning,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crop is Wheat: Headfire Burning,Fires - Agricultural Field Burning
2811500100,EVENT,Agricultural Field Burning - whole field set on fire /Field Crops Unspecified,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Field Crops Unspecified,Fires - Agricultural Field Burning
2811500600,EVENT,Agricultural Field Burning - whole field set on fire /Forest Residues Unspecified (see also 28-10-015-000),Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Forest Residues Unspecified (see also 28-10-015-000),Fires - Agricultural Field Burning
2811500610,EVENT,"Agricultural Field Burning - whole field set on fire /Forest Residues: Species are Hemlock, Douglas fir, Cedar",Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,"Forest Residues: Species are Hemlock, Douglas fir, Cedar",Fires - Agricultural Field Burning
2811500620,EVENT,Agricultural Field Burning - whole field set on fire /Forest Residues: Species is Ponderosa Pine (see also 28-10-015-000),Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Forest Residues: Species is Ponderosa Pine (see also 28-10-015-000),Fires - Agricultural Field Burning
2811500310,EVENT,Agricultural Field Burning - whole field set on fire /Orchard Crop is Almond,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Orchard Crop is Almond,Fires - Agricultural Field Burning
2811500320,EVENT,Agricultural Field Burning - whole field set on fire /Orchard Crop is Apple,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Orchard Crop is Apple,Fires - Agricultural Field Burning
2811500330,EVENT,Agricultural Field Burning - whole field set on fire /Orchard Crop is Apricot,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Orchard Crop is Apricot,Fires - Agricultural Field Burning
2811500340,EVENT,Agricultural Field Burning - whole field set on fire /Orchard Crop is Avocado,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Orchard Crop is Avocado,Fires - Agricultural Field Burning
2811500350,EVENT,Agricultural Field Burning - whole field set on fire /Orchard Crop is Cherry,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Orchard Crop is Cherry,Fires - Agricultural Field Burning
2811500360,EVENT,"Agricultural Field Burning - whole field set on fire /Orchard Crop is Citrus (orange, lemon)",Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,"Orchard Crop is Citrus (orange, lemon)",Fires - Agricultural Field Burning
2811500370,EVENT,Agricultural Field Burning - whole field set on fire /Orchard Crop is Date palm,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Orchard Crop is Date palm,Fires - Agricultural Field Burning
2811500380,EVENT,Agricultural Field Burning - whole field set on fire /Orchard Crop is Fig,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Orchard Crop is Fig,Fires - Agricultural Field Burning
2811500450,EVENT,Agricultural Field Burning - whole field set on fire /Orchard Crop is Filbert (Hazelnut),Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Orchard Crop is Filbert (Hazelnut),Fires - Agricultural Field Burning
2811500390,EVENT,Agricultural Field Burning - whole field set on fire /Orchard Crop is Nectarine,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Orchard Crop is Nectarine,Fires - Agricultural Field Burning
2811500400,EVENT,Agricultural Field Burning - whole field set on fire /Orchard Crop is Olive,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Orchard Crop is Olive,Fires - Agricultural Field Burning
2811500410,EVENT,Agricultural Field Burning - whole field set on fire /Orchard Crop is Peach,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Orchard Crop is Peach,Fires - Agricultural Field Burning
2811500420,EVENT,Agricultural Field Burning - whole field set on fire /Orchard Crop is Pear,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Orchard Crop is Pear,Fires - Agricultural Field Burning
2811500430,EVENT,Agricultural Field Burning - whole field set on fire /Orchard Crop is Prune,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Orchard Crop is Prune,Fires - Agricultural Field Burning
2811500440,EVENT,Agricultural Field Burning - whole field set on fire /Orchard Crop is Walnut,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Orchard Crop is Walnut,Fires - Agricultural Field Burning
2811500300,EVENT,Agricultural Field Burning - whole field set on fire /Orchard Crop Unspecified,Miscellaneous Area Sources,Agriculture Production - Crops - as Event,Agricultural Field Burning - whole field set on fire,Orchard Crop Unspecified,Fires - Agricultural Field Burning
